task_id,scenario_id,oracle_ids,test_ids,gate
TASK-P00-01,,ORACLE-043,TEST-020,GATE-PACKAGE
TASK-P00-02,,ORACLE-044,TEST-021,GATE-UNIT
TASK-P00-03,SCN-LOC-01,ORACLE-001,TEST-001,GATE-INTEGRATION
TASK-P00-03,SCN-ERR-01,ORACLE-001,TEST-001,GATE-INTEGRATION
TASK-P00-04,,ORACLE-041,TEST-000,GATE-UNIT
TASK-P01-01,SCN-ORI-01,ORACLE-001;ORACLE-002;ORACLE-003,TEST-001,GATE-INTEGRATION
TASK-P01-01,SCN-ORI-03,ORACLE-001;ORACLE-002;ORACLE-003,TEST-001,GATE-INTEGRATION
TASK-P01-01,SCN-LOC-01,ORACLE-001;ORACLE-002;ORACLE-003,TEST-001,GATE-INTEGRATION
TASK-P01-02,SCN-FOC-01,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P01-02,SCN-FOC-02,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P01-02,SCN-UI-01,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P01-02,SCN-UI-03,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P01-02,SCN-ORI-02,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P01-02,SCN-ORI-04,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P01-02,SCN-ORI-05,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P01-02,SCN-UI-02,ORACLE-002;ORACLE-003;ORACLE-020;ORACLE-025,TEST-002;TEST-014,GATE-E2E
TASK-P02-01,SCN-FLD-01,ORACLE-004;ORACLE-005;ORACLE-021,TEST-003;TEST-015,GATE-E2E
TASK-P02-01,SCN-FLD-02,ORACLE-004;ORACLE-005;ORACLE-021,TEST-003;TEST-015,GATE-E2E
TASK-P02-01,SCN-FLD-03,ORACLE-004;ORACLE-005;ORACLE-021,TEST-003;TEST-015,GATE-E2E
TASK-P02-01,SCN-FLD-04,ORACLE-004;ORACLE-005;ORACLE-021,TEST-003;TEST-015,GATE-E2E
TASK-P02-01,SCN-FLD-06,ORACLE-004;ORACLE-005;ORACLE-021,TEST-003;TEST-015,GATE-E2E
TASK-P02-01,SCN-FLD-07,ORACLE-004;ORACLE-005;ORACLE-021,TEST-003;TEST-015,GATE-E2E
TASK-P02-01,SCN-FLD-08,ORACLE-004;ORACLE-005;ORACLE-021,TEST-003;TEST-015,GATE-E2E
TASK-P02-02,SCN-FLD-05,ORACLE-006,TEST-003,GATE-INTEGRATION
TASK-P02-03,SCN-FLO-01,ORACLE-025;ORACLE-042,TEST-019,GATE-E2E
TASK-P02-03,SCN-FLO-02,ORACLE-025;ORACLE-042,TEST-019,GATE-E2E
TASK-P02-03,SCN-FLO-03,ORACLE-025;ORACLE-042,TEST-019,GATE-E2E
TASK-P02-03,SCN-FLO-04,ORACLE-025;ORACLE-042,TEST-019,GATE-E2E
TASK-P02-04,SCN-OUT-01,ORACLE-013;ORACLE-014;ORACLE-027,TEST-009,GATE-SECURITY
TASK-P02-04,SCN-OUT-02,ORACLE-013;ORACLE-014;ORACLE-027,TEST-009,GATE-SECURITY
TASK-P02-04,SCN-OUT-03,ORACLE-013;ORACLE-014;ORACLE-027,TEST-009,GATE-SECURITY
TASK-P02-04,SCN-OUT-04,ORACLE-013;ORACLE-014;ORACLE-027,TEST-009,GATE-SECURITY
TASK-P02-04,SCN-OUT-05,ORACLE-013;ORACLE-014;ORACLE-027,TEST-009,GATE-SECURITY
TASK-P03-01,SCN-REV-06,ORACLE-006;ORACLE-011;ORACLE-012,TEST-007;TEST-008,GATE-INTEGRATION
TASK-P03-01,SCN-REV-07,ORACLE-006;ORACLE-011;ORACLE-012,TEST-007;TEST-008,GATE-INTEGRATION
TASK-P03-01,SCN-ERR-02,ORACLE-006;ORACLE-011;ORACLE-012,TEST-007;TEST-008,GATE-INTEGRATION
TASK-P03-01,SCN-X-01,ORACLE-006;ORACLE-011;ORACLE-012,TEST-007;TEST-008,GATE-INTEGRATION
TASK-P03-02,SCN-REV-01,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-REV-02,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-REV-03,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-REV-04,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-REV-05,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-REV-08,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-REV-09,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-REV-10,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-X-02,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P03-02,SCN-X-10,ORACLE-009;ORACLE-010,TEST-006,GATE-E2E
TASK-P04-01,SCN-ERR-03,ORACLE-010;ORACLE-017,TEST-012,GATE-INTEGRATION
TASK-P04-01,SCN-TEC-03,ORACLE-010;ORACLE-017,TEST-012,GATE-INTEGRATION
TASK-P04-01,SCN-TEC-04,ORACLE-010;ORACLE-017,TEST-012,GATE-INTEGRATION
TASK-P04-01,SCN-X-05,ORACLE-010;ORACLE-017,TEST-012,GATE-INTEGRATION
TASK-P04-02,SCN-TEC-01,ORACLE-016;ORACLE-026,TEST-011,GATE-E2E
TASK-P04-02,SCN-TEC-02,ORACLE-016;ORACLE-026,TEST-011,GATE-E2E
TASK-P04-02,SCN-TEC-05,ORACLE-016;ORACLE-026,TEST-011,GATE-E2E
